_id,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
655e5f633c829e1286442c50,391,2013-07-07T03:29:00.000Z,2013-07-07T03:35:31.000Z,307,Canal St & Rutgers St,40.71427487,-73.98990025,341,Stanton St & Mangin St,40.71782143,-73.97628939,15166,Subscriber,1956,2
655e5f643c829e1286447948,1961,2013-07-08T00:29:35.000Z,2013-07-08T01:02:16.000Z,449,W 52 St & 9 Ave,40.76461837,-73.98789473,72,W 52 St & 11 Ave,40.76727216,-73.99392888,17070,Subscriber,1982,2
655e5f643c829e128644795e,327,2013-07-08T00:51:51.000Z,2013-07-08T00:57:18.000Z,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,20000,Subscriber,1981,2
655e5f643c829e1286447966,1739,2013-07-08T01:05:56.000Z,2013-07-08T01:34:55.000Z,72,W 52 St & 11 Ave,40.76727216,-73.99392888,483,E 12 St & 3 Ave,40.73223272,-73.98889957,17070,Subscriber,1982,2
655e5f643c829e1286447972,320,2013-07-08T01:27:51.000Z,2013-07-08T01:33:11.000Z,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,19065,Subscriber,1976,2
655e5f643c829e1286447977,1776,2013-07-08T01:36:18.000Z,2013-07-08T02:05:54.000Z,483,E 12 St & 3 Ave,40.73223272,-73.98889957,492,W 33 St & 7 Ave,40.75019995,-73.99093085,17070,Subscriber,1982,2
655e5f643c829e128644798e,60,2013-07-08T02:08:29.000Z,2013-07-08T02:09:29.000Z,492,W 33 St & 7 Ave,40.75019995,-73.99093085,492,W 33 St & 7 Ave,40.75019995,-73.99093085,17070,Subscriber,1982,2
655e5f643c829e12864479a5,649,2013-07-08T02:32:13.000Z,2013-07-08T02:43:02.000Z,462,W 22 St & 10 Ave,40.74691959,-74.00451887,127,Barrow St & Hudson St,40.73172428,-74.00674436,19838,Subscriber,1976,2
655e5f643c829e12864479af,1773,2013-07-08T02:41:36.000Z,2013-07-08T03:11:09.000Z,492,W 33 St & 7 Ave,40.75019995,-73.99093085,490,8 Ave & W 33 St,40.751551,-73.993934,17070,Subscriber,1982,2
655e5f643c829e12864479b0,795,2013-07-08T02:42:01.000Z,2013-07-08T02:55:16.000Z,497,E 17 St & Broadway,40.73704984,-73.99009296,386,Centre St & Worth St,40.71494807,-74.00234482,19263,Subscriber,1972,2
655e5f643c829e12864479bd,184,2013-07-08T02:57:51.000Z,2013-07-08T03:00:55.000Z,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,17213,Subscriber,1980,2
655e5f643c829e12864479c7,1648,2013-07-08T03:12:32.000Z,2013-07-08T03:40:00.000Z,487,E 20 St & FDR Drive,40.73314259,-73.97573881,534,Water - Whitehall Plaza,40.70255065,-74.0127234,19652,Subscriber,1959,2
655e5f643c829e12864479c9,213,2013-07-08T03:12:47.000Z,2013-07-08T03:16:20.000Z,490,8 Ave & W 33 St,40.751551,-73.993934,512,W 29 St & 9 Ave,40.7500727,-73.99839279,17070,Subscriber,1982,2
655e5f643c829e12864479ce,1041,2013-07-08T03:17:32.000Z,2013-07-08T03:34:53.000Z,513,W 56 St & 10 Ave,40.768254,-73.988639,466,W 25 St & 6 Ave,40.74395411,-73.99144871,19789,Subscriber,1979,2
655e5f643c829e12864479cf,919,2013-07-08T03:18:23.000Z,2013-07-08T03:33:42.000Z,482,W 15 St & 7 Ave,40.73935542,-73.99931783,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,16948,Subscriber,1971,2
655e5f643c829e12864479d9,414,2013-07-08T03:24:45.000Z,2013-07-08T03:31:39.000Z,307,Canal St & Rutgers St,40.71427487,-73.98990025,341,Stanton St & Mangin St,40.71782143,-73.97628939,19583,Subscriber,1956,2
655e5f643c829e12864479ef,496,2013-07-08T03:33:49.000Z,2013-07-08T03:42:05.000Z,285,Broadway & E 14 St,40.73454567,-73.99074142,168,W 18 St & 6 Ave,40.73971301,-73.99456405,19201,Subscriber,1976,2
655e5f643c829e12864479fa,627,2013-07-08T03:37:38.000Z,2013-07-08T03:48:05.000Z,482,W 15 St & 7 Ave,40.73935542,-73.99931783,485,W 37 St & 5 Ave,40.75038009,-73.98338988,20028,Subscriber,1980,2
655e5f643c829e12864479fb,384,2013-07-08T03:37:44.000Z,2013-07-08T03:44:08.000Z,465,Broadway & W 41 St,40.75513557,-73.98658032,173,Broadway & W 49 St,40.76064679,-73.98442659,15875,Subscriber,1970,2
655e5f643c829e1286447a1d,365,2013-07-08T03:45:57.000Z,2013-07-08T03:52:02.000Z,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,325,E 19 St & 3 Ave,40.73624527,-73.98473765,16226,Subscriber,1982,2
655e5f653c829e128644cd92,1556,2013-07-08T23:52:27.000Z,2013-07-09T00:18:23.000Z,489,10 Ave & W 28 St,40.75066386,-74.00176802,489,10 Ave & W 28 St,40.75066386,-74.00176802,19841,Subscriber,1982,2
655e5f653c829e128644cdab,1048,2013-07-09T00:12:28.000Z,2013-07-09T00:29:56.000Z,459,W 20 St & 11 Ave,40.746745,-74.007756,308,St James Pl & Oliver St,40.71307916,-73.99851193,16585,Subscriber,1972,2
655e5f653c829e128644cdbc,893,2013-07-09T00:26:44.000Z,2013-07-09T00:41:37.000Z,494,W 26 St & 8 Ave,40.74734825,-73.99723551,507,E 25 St & 2 Ave,40.73912601,-73.97973776,20622,Subscriber,1980,2
655e5f653c829e128644cdbd,1314,2013-07-09T00:29:09.000Z,2013-07-09T00:51:03.000Z,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,143,Clinton St & Joralemon St,40.69239502,-73.99337909,17129,Subscriber,1945,2
